"Car or
Truck","Vehicle
Type",Model Year,Prod (000),,Fuel Economy (MPG),,,,"Weight
(lb)","Vol 
(Cu-Ft)",Engine,,0-60 Time,"HP/
CID","HP/
WT","Ton-MPG
(Lab 55/45)",Cu-Ft-MPG (Lab 55/45),"Cu-Ft-Ton-
MPG
(Lab 55/45)",Drivetrain,,,Transmission,,,,,Fuel Metering,,,,,,VVT,,Vehicle Size,,
,,,,Frac,Lab 55/45,Adj City,Adj Hwy,Adj Comb,,,CID,HP,,,,,,,Front,4WD,Rear,Manual,Automatic,Lockup,CVT,Other,Carb,GDI,Port,TBI,Diesel,Multi-Valve,,Hybrid,Small,Midsize,Large
Car,Car SUV,1979,16,0.001,16.8,13.9,14.8,14.3,3271,,185,99,16.4,0.576,0.0300,27.8,,,,,100.0%,37.7%,58.3%,3.9%,,,100.0%,,,,,,,,83.5%,16.5%,
Car,Car SUV,1980,0,0.000,17.2,13.9,15.5,14.6,4000,,280,122,16.1,0.436,0.0305,34.6,,,,,100.0%,3.9%,9.4%,86.8%,,,100.0%,,,,,,,,,100.0%,
Car,Car SUV,1981,0,0.000,17.3,13.7,16.1,14.7,4000,,318,140,14.3,0.440,0.0350,34.5,,,,,100.0%,,,100.0%,,,100.0%,,,,,,,,,100.0%,
Car,Car SUV,1982,13,0.001,23.4,20.2,19.3,19.8,2630,,159,88,17.3,0.557,0.0335,30.7,,,,,100.0%,4.6%,86.5%,8.9%,,,100.0%,,,,,,,,86.5%,13.5%,
Car,Car SUV,1983,34,0.003,24.3,19.5,22.4,20.7,3124,,163,101,15.4,0.617,0.0325,38.4,,,,,100.0%,19.3%,37.6%,43.2%,,,100.0%,,,,,,,,37.6%,62.4%,
Car,Car SUV,1984,55,0.004,22.6,17.5,22.1,19.3,3487,,179,109,15.2,0.615,0.0313,39.7,,,,,100.0%,19.4%,15.8%,64.8%,,,100.0%,,,,,,,,5.6%,94.4%,
Car,Car SUV,1985,88,0.006,23.5,17.6,24.2,20.1,3469,,171,109,15.1,0.637,0.0314,40.8,,,,,100.0%,15.9%,,84.1%,,,94.7%,,,5.3%,,,,,,100.0%,
Car,Car SUV,1986,59,0.004,22.3,17.1,21.7,18.9,3479,,170,121,13.5,0.713,0.0348,38.9,,,,,100.0%,18.1%,,81.9%,,,13.1%,,0.0%,86.8%,0.0%,,,,0.0%,100.0%,
Car,Car SUV,1987,95,0.006,22.9,17.1,23.1,19.4,3492,,179,131,13.0,0.730,0.0374,40.0,,,,,100.0%,14.3%,,85.7%,,,,,32.8%,67.2%,,,,,24.1%,75.9%,
Car,Car SUV,1988,109,0.007,22.7,17.1,22.5,19.2,3495,,199,142,12.4,0.719,0.0405,39.9,,,,,100.0%,24.6%,,75.4%,,,,,48.2%,51.8%,,,,,35.2%,64.8%,
Car,Car SUV,1989,108,0.007,22.7,17.1,22.1,19.1,3497,,226,148,11.4,0.668,0.0422,39.8,,,,,100.0%,27.4%,,72.6%,,,1.4%,,44.7%,53.9%,,,,,32.0%,68.0%,
